word_id,p_target_human,p_target_model,target_quartile,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
сора,0.0113636363636363,0.0,Q3,0.12121212121212122,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.3636363636363635,0.3749999999999998,0.3749999999999998,0.3749999999999998,0.3749999999999998
соринку,0.0113636363636363,0.0,Q3,0.3,0.3,0.3,0.3,0.3,0.7727272727272725,0.7727272727272725,0.7727272727272725,0.7727272727272725,0.7727272727272725
союзу,0.0,0.0,Q2,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.13043478260869562,0.13043478260869562,0.13043478260869562,0.13043478260869562,0.13043478260869562
спать,0.0526315789473684,0.10894769842364822,Q3,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.4736842105263156,0.4736842105263156,0.4736842105263156,0.4736842105263156,0.4736842105263156
специалист,0.0,0.0,Q2,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.1333333333333332,0.1333333333333332,0.1333333333333332
спокойный,0.0,0.0,Q2,0.3,0.3,0.3,0.3,0.3,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529
стога,0.0,0.0,Q2,0.06666666666666667,0.2,0.2,0.2,0.2,0.1666666666666666,0.27777777777777757,0.27777777777777757,0.27777777777777757,0.27777777777777757
стоимостью,0.0,0.0,Q3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9375,0.9375,0.9375,0.9375,0.9375
страницы,0.6842105263157895,0.9382265712971459,Q4,0.4,0.6,0.6,0.6,0.6,0.7894736842105263,0.894736842105263,0.894736842105263,0.894736842105263,0.894736842105263
страшных,0.0158730158730158,0.0,Q3,0.09375,0.125,0.125,0.125,0.125,0.1269841269841268,0.22222222222222202,0.22222222222222202,0.22222222222222202,0.22222222222222202
сук,0.0125,0.0,Q3,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.8625,0.8625,0.8625,0.8625,0.8625
сытные,0.0,0.0,Q3,0.3,0.3,0.3,0.3,0.3,0.5625,0.5625,0.5625,0.5625,0.5625
талый,0.0,0.0,Q3,0.5,0.625,0.625,0.625,0.625,0.5625,0.6875,0.6875,0.6875,0.6875
телефон,0.953846153846154,0.97449754174383,Q4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.953846153846154,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847
техосмотра,0.0,0.0,Q3,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588
тонким,0.0,0.0,Q3,0.3,0.3,0.3,0.3,0.3,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.5263157894736841,0.5263157894736841
трепало,0.0131578947368421,0.014827734604333086,Q3,0.07894736842105263,0.07894736842105263,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.0789473684210526,0.0789473684210526,0.1710526315789473,0.24999999999999986,0.24999999999999986
углу,0.0,0.0,Q3,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.2121212121212121,0.2121212121212121,0.2121212121212121,0.2121212121212121,0.2121212121212121
