word_id,H_human,H_model,entropy_quartile,overlap_at_5,weighted_overlap_at_5,overlap_at_10,weighted_overlap_at_10,overlap_at_20,weighted_overlap_at_20,overlap_at_50,weighted_overlap_at_50,overlap_at_100,weighted_overlap_at_100
который,2.2897335135422674,1.30320230502283,Q2,0.3125,0.8021978021978016,0.3125,0.8021978021978016,0.3125,0.8021978021978016,0.3125,0.8021978021978016,0.3125,0.8021978021978016
красоты,3.0725634477465213,0.7489417936356307,Q4,0.08823529411764706,0.1558441558441557,0.11764705882352941,0.2597402597402596,0.11764705882352941,0.2597402597402596,0.11764705882352941,0.2597402597402596,0.11764705882352941,0.2597402597402596
крен,3.030243278279052,1.2514586822962284,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
крупу,0.8305236914828463,0.7398451909706882,Q1,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375
крыши,2.6923109941417858,1.2560898105811449,Q3,0.0625,0.1,0.0625,0.1,0.0625,0.1,0.125,0.15000000000000002,0.125,0.15000000000000002
купон,2.0140355237092673,1.0791537203554429,Q2,0.42857142857142855,0.75,0.42857142857142855,0.75,0.42857142857142855,0.75,0.42857142857142855,0.75,0.42857142857142855,0.75
лед,3.3468564095764624,0.7105413563008323,Q4,0.06557377049180328,0.31884057971014496,0.06557377049180328,0.31884057971014496,0.06557377049180328,0.31884057971014496,0.06557377049180328,0.31884057971014496,0.06557377049180328,0.31884057971014496
лес,1.2177973305857526,0.29700736234056513,Q1,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356
лестнице,1.7440355786188684,0.9452771060879913,Q1,0.0,0.0,0.07692307692307693,0.0161290322580645,0.07692307692307693,0.0161290322580645,0.07692307692307693,0.0161290322580645,0.07692307692307693,0.0161290322580645
летела,3.4877096729465387,0.94130771705575,Q4,0.021739130434782608,0.0606060606060605,0.021739130434782608,0.0606060606060605,0.08695652173913043,0.1439393939393936,0.13043478260869565,0.27272727272727226,0.13043478260869565,0.27272727272727226
летом,1.8390211812571493,1.3552725712973765,Q2,0.18181818181818182,0.608695652173913,0.18181818181818182,0.608695652173913,0.18181818181818182,0.608695652173913,0.18181818181818182,0.608695652173913,0.18181818181818182,0.608695652173913
лис,2.8224986900688207,0.9125126339224181,Q4,0.13157894736842105,0.3015873015873014,0.18421052631578946,0.35714285714285693,0.18421052631578946,0.35714285714285693,0.18421052631578946,0.35714285714285693,0.18421052631578946,0.35714285714285693
лом,2.567443946257968,1.5238471082839158,Q3,0.18181818181818182,0.3225806451612902,0.22727272727272727,0.3387096774193547,0.22727272727272727,0.3387096774193547,0.2727272727272727,0.3548387096774192,0.2727272727272727,0.3548387096774192
лопоухая,3.2940798410681267,1.0161791082433376,Q4,0.07894736842105263,0.056338028169014,0.10526315789473684,0.084507042253521,0.10526315789473684,0.084507042253521,0.10526315789473684,0.084507042253521,0.10526315789473684,0.084507042253521
мазь,0.6096274235960981,0.09761562371461549,Q1,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947
микробы,3.344133246985188,0.815046833810332,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0993377483443708,0.03333333333333333,0.1059602649006621
миссионеры,1.9504094967322696,0.9750566765931864,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
