word_id,n_human_lemmas,overlap_at_5,weighted_overlap_at_5,surface_match_at_5,surface_weighted_match_at_5,overlap_at_10,weighted_overlap_at_10,surface_match_at_10,surface_weighted_match_at_10,overlap_at_15,weighted_overlap_at_15,surface_match_at_15,surface_weighted_match_at_15,overlap_at_20,weighted_overlap_at_20,surface_match_at_20,surface_weighted_match_at_20,overlap_at_50,weighted_overlap_at_50,surface_match_at_50,surface_weighted_match_at_50,overlap_at_100,weighted_overlap_at_100,surface_match_at_100,surface_weighted_match_at_100,overlap_at_200,weighted_overlap_at_200,surface_match_at_200,surface_weighted_match_at_200
жить,5,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047
иной,24,0.16666666666666666,0.4057971014492753,0.10344827586206896,0.34782608695652173,0.20833333333333334,0.4202898550724637,0.1724137931034483,0.3768115942028985,0.20833333333333334,0.4202898550724637,0.1724137931034483,0.3768115942028985,0.20833333333333334,0.4202898550724637,0.1724137931034483,0.3768115942028985,0.20833333333333334,0.4202898550724637,0.1724137931034483,0.3768115942028985,0.20833333333333334,0.4202898550724637,0.1724137931034483,0.3768115942028985,0.20833333333333334,0.4202898550724637,0.1724137931034483,0.3768115942028985
тонким,10,0.3,0.5263157894736841,0.2727272727272727,0.5263157894736841,0.3,0.5263157894736841,0.2727272727272727,0.5263157894736841,0.3,0.5263157894736841,0.2727272727272727,0.5263157894736841,0.3,0.5263157894736841,0.2727272727272727,0.5263157894736841,0.3,0.5263157894736841,0.2727272727272727,0.5263157894736841,0.3,0.5263157894736841,0.2727272727272727,0.5263157894736841,0.3,0.5263157894736841,0.2727272727272727,0.5263157894736841
углу,17,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121,0.11764705882352941,0.2121212121212121
сгущенки,18,0.1111111111111111,0.2083333333333332,0.10526315789473684,0.0833333333333332,0.16666666666666666,0.2499999999999998,0.15789473684210525,0.1249999999999998,0.16666666666666666,0.2499999999999998,0.15789473684210525,0.1249999999999998,0.16666666666666666,0.2499999999999998,0.15789473684210525,0.1249999999999998,0.16666666666666666,0.2499999999999998,0.15789473684210525,0.1249999999999998,0.16666666666666666,0.2499999999999998,0.15789473684210525,0.1249999999999998,0.16666666666666666,0.2499999999999998,0.15789473684210525,0.1249999999999998
одинаковые,8,0.125,0.3333333333333333,0.125,0.3333333333333333,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666,0.25,0.4666666666666666
бездетным,7,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222
пластмассы,8,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713,0.25,0.5714285714285713
который,16,0.3125,0.8021978021978016,0.23809523809523808,0.6593406593406591,0.3125,0.8021978021978016,0.23809523809523808,0.6593406593406591,0.3125,0.8021978021978016,0.23809523809523808,0.6593406593406591,0.3125,0.8021978021978016,0.23809523809523808,0.6593406593406591,0.3125,0.8021978021978016,0.23809523809523808,0.6593406593406591,0.3125,0.8021978021978016,0.23809523809523808,0.6593406593406591,0.3125,0.8021978021978016,0.23809523809523808,0.6593406593406591
спокойный,10,0.3,0.41176470588235287,0.2727272727272727,0.41176470588235287,0.3,0.41176470588235287,0.2727272727272727,0.41176470588235287,0.3,0.41176470588235287,0.2727272727272727,0.41176470588235287,0.3,0.41176470588235287,0.2727272727272727,0.41176470588235287,0.3,0.41176470588235287,0.2727272727272727,0.41176470588235287,0.3,0.41176470588235287,0.2727272727272727,0.41176470588235287,0.3,0.41176470588235287,0.2727272727272727,0.41176470588235287
хаки,26,0.07692307692307693,0.0769230769230768,0.037037037037037035,0.0192307692307692,0.07692307692307693,0.0769230769230768,0.07407407407407407,0.0576923076923076,0.07692307692307693,0.0769230769230768,0.07407407407407407,0.0576923076923076,0.07692307692307693,0.0769230769230768,0.07407407407407407,0.0576923076923076,0.07692307692307693,0.0769230769230768,0.07407407407407407,0.0576923076923076,0.07692307692307693,0.0769230769230768,0.07407407407407407,0.0576923076923076,0.07692307692307693,0.0769230769230768,0.07407407407407407,0.0576923076923076
розетки,39,0.07692307692307693,0.20253164556962008,0.06666666666666667,0.20253164556962008,0.10256410256410256,0.3037974683544302,0.08888888888888889,0.3037974683544302,0.10256410256410256,0.3037974683544302,0.08888888888888889,0.3037974683544302,0.10256410256410256,0.30379746835443017,0.08888888888888889,0.3037974683544302,0.10256410256410256,0.30379746835443017,0.08888888888888889,0.3037974683544302,0.10256410256410256,0.30379746835443017,0.08888888888888889,0.3037974683544302,0.10256410256410256,0.30379746835443017,0.08888888888888889,0.3037974683544302
баранины,5,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8
